"","id","median_comment_length","mean_comment_length","number_of_runs","days_in_database","number_of_platforms_played_on","fraction_of_runs_played_on_emulated","number_unique_players","fraction_runs_by_unique_players","run_production_rate"
"231","o1yxvv6qn2yj37z2game-level","43","59.3846153846154","100","3065.95833333333","5","0","97","0.97","0.0326162292920919"
"232","o1yz5kdqn2y1nem2game-level","96.5","96","26","1777.04166666667","2","0.269230769230769","26","1","0.0146310581725246"
"233","o6glg48dn2ygqo12rdn246vd","16.5","41.3","13","667","4","0","13","1","0.0194902548725637"
"234","o6glg48dn2ygqo12rdq5421d","37.5","58.5","34","587.041666666667","5","0","34","1","0.0579175243097452"
"235","o6glg48dn2ygqo12xd4rg4p9","40","128","26","585.041666666667","4","0","26","1","0.0444412791111744"
"236","o6glg48dn2ygqo12ywemxrrd","23","57.9230769230769","21","356","4","0","21","1","0.0589887640449438"
"237","o6glpzod8240oyedgame-level","106","90.5384615384615","22","401","4","0","22","1","0.0548628428927681"
"238","o6glpzod9d83w7w2game-level","37.5","74.8333333333333","22","494","1","0","22","1","0.0445344129554656"
"239","o6glpzodrklr8w6kgame-level","25","54","9","533.041666666667","1","0","9","1","0.016884233565231"
"240","o6glvqodz27m4n52game-level","129","123.409090909091","33","20","3","0","33","1","1.65"
"241","o6glxod27kjz6nd3game-level","62.5","92.6594202898551","181","3327.95833333333","11","0","181","1","0.0543877001665185"
"242","o6gn7o12jdreqnk6game-level","41","56.5227272727273","158","3176","3","0","158","1","0.0497481108312343"
"243","o6gn7o12q253ojkogame-level","43","66.0645161290323","89","3167.04166666667","5","0","89","1","0.0281019352971359"
"244","o6gn7o12wdmzryo2game-level","49","59.6875","28","3406","3","0","28","1","0.00822078684674104"
"245","o6gn7o12wkp3yj2rgame-level","36","54.8994413407821","308","3457.95833333333","6","0","308","1","0.0890698991456905"
"246","o6gnq5129d84mlkngame-level","70","93.1515151515152","46","2891","1","0.695652173913043","46","1","0.0159114493254929"
"247","o6gny5128241qm25game-level","59","79.18","129",NA,"4","0","127","0.984496124031008",NA
"248","ok6qlo1gmkeon9d6game-level","16","31.8235294117647","27","3734","4","0","27","1","0.00723085163363685"
"249","ok6qlo1gwdmze42qgame-level","37","60.864406779661","100","3772.95833333333","5","0","100","1","0.0265044008348886"
"250","ok6qlo1gxd1rxxrkgame-level","61","73.1333333333333","35","3739.95833333333","3","0","35","1","0.00935839303022538"
"251","om1mpk1202qg5zdygame-level","57","91.6351351351351","78","2328.95833333333","7","0","74","0.948717948717949","0.0334913677430897"
"252","pd072l6ewdmp83dqgame-level","51","69.5238095238095","85",NA,"1","0.635294117647059","85","1",NA
"253","pd0993demkelr19dgame-level","39.5","51.9864864864865","111","2126","2","0","77","0.693693693693694","0.0522107243650047"
"254","pd0qq4v1jdr968xdgame-level","40","58.5808383233533","238","281.041666666667","1","0","234","0.983193277310924","0.846849518161601"
"255","pd0qq4v1jdr96yxdgame-level","28","44.4957983193277","185","323","3","0","185","1","0.572755417956656"
"256","pd0qq4v1jdrrg3gdgame-level","38","57.2608695652174","107","248","2","0","103","0.962616822429907","0.431451612903226"
"257","pd0qq4v1jdze0ovdgame-level","41","51.7340425531915","125","319","1","0","125","1","0.391849529780564"
"258","pd0qq4v1zdnngqndgame-level","29","50.4403669724771","144","317","1","0","140","0.972222222222222","0.454258675078864"
"259","pd0w3qw19d84jg3kgame-level","46","72.9111111111111","136","909.958333333333","1","0","136","1","0.149457392737763"
"260","pd0w3qw1w20gvlzkgame-level","60","87.2666666666667","68","820","1","0","46","0.676470588235294","0.0829268292682927"
"261","pd0wj4217dgnqzp2game-level","83","98.4852941176471","328","710","1","0","328","1","0.461971830985915"
"262","pd0wjp21w20gl5zkgame-level","58.5","220.75","19","700","2","0","19","1","0.0271428571428571"
"263","pd0wx9w18246jnmdgame-level","22.5","38.469387755102","216","1590.95833333333","3","0","215","0.99537037037037","0.135767226252521"
"264","pd0wx9w1zd36l5rdgame-level","30","51.8273195876289","2470","1668","3","0","2445","0.989878542510121","1.48081534772182"
"265","pdv294v6mkexjj6dgame-level","117.5","117.5","13","1433","1","1","13","1","0.00907187718073971"
"266","pdv4qrdw9d863672game-level","32","43.4166666666667","48","1565.95833333333","3","0","48","1","0.0306521565601469"
"267","pdv4qrdwzd36predgame-level","45.5","58.4285714285714","30","1385","3","0","24","0.8","0.0216606498194946"
"268","pdv94r1w7kjl9g23game-level","68","122.071428571429","49","2234","5","0","49","1","0.0219337511190689"
"269","pdvl8r1wxk9jv1ydgame-level","54","104.805555555556","51","1806","3","0","51","1","0.0282392026578073"
"270","pdvznzr6824nn0mkgame-level","50","61.3205128205128","100","225","3","0","73","0.73","0.444444444444444"
"271","pdvznzr6824r35mdgame-level","56.5","83.2545787545788","690","1284.95833333333","4","0","690","1","0.536982392425176"
"272","pdvznzr69d8yo9wkgame-level","50","75.3177966101695","325","228","4","0","325","1","1.42543859649123"
"273","pdvzpo467dg4xwgdgame-level","50","62.2336448598131","188","1109","5","0","169","0.898936170212766","0.169522091974752"
"274","pdvzxmr6jdz645r2game-level","130","151.180555555556","74","540","4","0","72","0.972972972972973","0.137037037037037"
"275","pdvzxmr6q25ep4j2game-level","126.5","147.946153846154","131","546","6","0","111","0.847328244274809","0.23992673992674"
"276","pdvzxmr6z27m5102game-level","174","177.746835443038","79","1232","6","0","79","1","0.0641233766233766"
"277","qw6jp56jrklg0ndngame-level","54","74.0344827586207","77","4241","2","0.142857142857143","77","1","0.0181560952605518"
"278","qw6jp56jw20ze5dn5920l3d6","24","58.7272727272727","20","3205","3","0.1","20","1","0.0062402496099844"
"279","qw6jqx1jzdnprxkqgame-level","41","70.1666666666667","25","3084","2","0","25","1","0.00810635538261997"
"280","qw6jv76j37dg47d4game-level","30","89.2608695652174","50","3476.04166666667","3","0","50","1","0.0143841774048547"
"281","qw6jw41jjdz3zr2v69zpx6w1","30","53.2142857142857","21","2341.95833333333","1","0","21","1","0.00896685466223068"
"282","qw6jw41jjdz3zr2vxd40n09m","39","56.2352941176471","28",NA,"1","0","27","0.964285714285714",NA
"283","v1p0x468q2548ovdgame-level","28","40.9677419354839","39","2158","1","0.82051282051282","22","0.564102564102564","0.0180722891566265"
"284","v1p42z1802qogojkgame-level","64.5","93.1","15","1189.04166666667","1","0","15","1","0.0126152013175877"
"285","v1p42z18vdoo4y9dgame-level","60.5","142.166666666667","23","1253.04166666667","1","0","23","1","0.0183553353506468"
"286","v1p4e418rklernr2game-level","175","204.740740740741","90","1840","1","0","81","0.9","0.0489130434782609"
"287","v1p4e418vdoq1yykgame-level","111","141.814814814815","36","1816","1","0","33","0.916666666666667","0.0198237885462555"
"288","v1plmp68n2y39y1dgame-level","39","54","41","2965.95833333333","1","0","41","1","0.0138235252799123"
"289","v1po7r7602qv087dgame-level","114.5","178.75","24","484","3","0","20","0.833333333333333","0.0495867768595041"
"290","v1po7r769kv9nz32xd130359","84","100.862068965517","119","942","8","0","119","1","0.126326963906582"
"291","v1po7r76mkeqn79kxd130359","85","101.678018575851","334","956","10","0","334","1","0.349372384937238"
"292","v1po7r76mkeqn79kywe3klr9","91.5","101.64","102","434.958333333333","9","0","102","1","0.234505220806591"
"293","v1po7r76rklrny8kkwj8yv79","108","124.033333333333","33","887.958333333333","6","0","29","0.878787878787879","0.0371639059640561"
"294","v1ponx76wdmvmz4dy9mg6l19","36","36","10","355","1","0","10","1","0.028169014084507"
"295","v1ponx76zd3oqgndkwj6gnzd","53.5","63.375","33","426","4","0","31","0.93939393939394","0.0774647887323944"
"296","v1ponx76zd3oqgndowo5jzyd","101","105.333333333333","23","236.958333333333","2","0","23","1","0.0970634781079655"
"297","v1poy886mke4e0x2game-level","70","69.6896551724138","57","90","3","0","53","0.929824561403509","0.633333333333333"
"298","v1poy886mkeqrynkgame-level","139","126.443708609272","159","1177.95833333333","7","0","154","0.968553459119497","0.134979307417495"
"299","w6j395djn2yqq7zkgame-level","110","141.790697674419","55","2841","5","0","55","1","0.019359380499824"
"300","w6j5y41j7dgglwxdgame-level","258","167.673469387755","79","2699.95833333333","4","0","63","0.79746835443038","0.0292597107980061"
"301","w6j5y41jvdo4wr12game-level","65.5","89.4673913043478","137","2346.95833333333","4","0","117","0.854014598540146","0.0583734265982566"
"302","w6j8p71jn2y7yw82game-level","140","121.533333333333","16","698.958333333333","1","0","9","0.5625","0.0228912071535022"
"303","w6jl094dwdmxg1xkgame-level","37.5","62.3125","34","142","1","0","34","1","0.23943661971831"
"304","w6jl2z4djdro6ngdgame-level","24","48.9090909090909","30","440.958333333333","1","0","24","0.8","0.0680336388547671"
"305","w6jl725djdz79jrkgame-level","35","55.8733624454148","231","1111","2","0.0216450216450216","231","1","0.207920792079208"
"306","w6jl725dxk9g1lgdgame-level","27","52.25","17","1531.95833333333","1","0","17","1","0.0110969075529687"
"307","w6jlrn4d82404pedgame-level","63","87.9375","44","573","2","0.0454545454545455","42","0.954545454545455","0.0767888307155323"
"308","w6jlw74dwdmxoqek5wknzovw","13.5","19.8333333333333","24","736","3","0","20","0.833333333333333","0.0326086956521739"
"309","w6jlw74dzd3w4yekgame-level","66","77.4","32","778.958333333333","4","0","29","0.90625","0.0410805028082375"
"310","w6jnv51j7dg5ypp2game-level","44","88.56","32","2108.04166666667","2","0","28","0.875","0.0151799656078904"
"311","w6jnv51j9kvpqo0kgame-level","64","105.6","18","1844","3","0","14","0.777777777777778","0.00976138828633406"
"312","x3692ldlwdmw6ne2game-level","41","58.1176470588235","65","3740.95833333333","3","0","65","1","0.0173752269360569"
"313","xkdk4g1m02qyyydygame-level","27","42.0925925925926","96","3418.95833333333","4","0","96","1","0.0280787276826519"
"314","xkdkp21m824x9nd5game-level","46","67.2820512820513","55","3337.95833333333","1","0.254545454545455","49","0.890909090909091","0.0164771379710651"
"315","xv1p4m185dwp4ekggame-level","51","61.0454545454545","51","3056.95833333333","4","0","51","1","0.0166832499625172"
"316","y6547nedn2y997zdgame-level","45","64.1428571428571","25","369","2","0","25","1","0.0677506775067751"
"317","y654r24drklv81ndgame-level","68.5","102.142857142857","25","1513.95833333333","1","0","13","0.52","0.0165130039906426"
"318","y657jedendx19452ewpxmmld","27","50.1333333333333","23","1382","1","0","23","1","0.0166425470332851"
"319","y65r341e824xo0edkwj75xzw","47","47","15","2330.04166666667","3","0","15","1","0.00643765311779117"
"320","y65r341e824xo0edrdq0o7gw","29","41","10","1722","4","0","10","1","0.00580720092915215"
"321","y65r341e824xo0edy9m5j71d","20","52.1111111111111","15","2074","3","0","15","1","0.00723240115718419"
"322","y65r341e824xo0edz98ry2rd","28","37.6666666666667","26","1284","3","0","26","1","0.0202492211838006"
"323","y65r341exd1mo48dgame-level","55","82.3684210526316","40","2136","3","0","32","0.8","0.0187265917602996"
"324","y65r341ezd30mxedywe21rrw","31","37.8","12","2094","2","0","11","0.916666666666667","0.00573065902578797"
"325","yd400g1ezdn7mqkqgame-level","120","243.333333333333","16","2609.95833333333","1","0.4375","16","1","0.00613036606586951"
"326","yd437x1ewk6plnpdgame-level","73","83.7647058823529","45","2128","7","0.555555555555556","41","0.911111111111111","0.0211466165413534"
"327","yd478gde5dw43j0kewpn8nj9","31","31","9801","66","1","0","9801","1","148.5"
"328","yd478gdendx9vv5dgame-level","72","99.4181818181818","57","1702","7","0.105263157894737","45","0.789473684210526","0.0334900117508813"
"329","yd478gderklj86ndgame-level","73","85.2","51","1473","8","0.117647058823529","45","0.88235294117647","0.0346232179226069"
"330","yd478gdezd3vpoe2game-level","82","108.846153846154","40","2748","9","0.125","38","0.95","0.0145560407569141"
"331","yd48w56ejdrp8mg2game-level","39","66.1360946745562","490","3377.95833333333","1","0.397959183673469","490","1","0.145058035549087"
"332","yd4jl5dez27ryg4dgame-level","33","51.7777777777778","107","1976.95833333333","1","0","107","1","0.054123548380298"
"333","yd4o0z517kjqzegdgame-level","30","58.9719626168224","236","1436","6","0","234","0.991525423728814","0.164345403899721"
"334","yd4o0z51wkp3qqw2game-level","54","97.4607843137255","102","529.041666666667","5","0","96","0.941176470588235","0.192801449161219"
"335","yd4o4yx1z274gy5269z8y069","116","134.72","33","526.958333333333","1","0.515151515151515","33","1","0.0626235470862655"
"336","yd4or2x15dw4j5lkgame-level","104","158","11","1252.04166666667","1","0","11","1","0.00878565010482878"
"337","yd4ovvg15dwg1nlkkwj3v50d","85","94.1904761904762","22","709","6","0","20","0.909090909090909","0.0310296191819464"
"338","yd4ovvg19d849y7kgame-level","98","115.279329608939","184","730","9","0","184","1","0.252054794520548"
"339","yd4ovvg19kv7jy8kkwj3v50d","85","93.4886363636364","95","1034.04166666667","8","0","95","1","0.0918725067494056"
"340","yd4ovvg19kv7jy8ky9myz2z9","84","86.6880733944954","121","1025","7","0","121","1","0.118048780487805"
"341","yd4ovvg19kv7jy8kz98m63lw","87","100.134281200632","647","1154.95833333333","13","0","647","1","0.560193369169162"
"342","yd4ovvg19kv7jyokgame-level","91","103.355769230769","222","1890.95833333333","7","0","222","1","0.117400788841637"
"343","yd4ovvg1mke4xy62kwj3v50d","77.5","93.2380952380952","50","967.041666666667","7","0","50","1","0.0517040803136714"
"344","yd4ovvg1mke4xy62z98m63lw","88","110.073732718894","225","1129.95833333333","10","0","225","1","0.199122386518677"
"345","yd4ovvg1n2yolnmdgame-level","117","124.848484848485","35","698","5","0","35","1","0.0501432664756447"
"346","yd4ovvg1ndx9l1jdgame-level","94","122.429139072848","790","895.958333333333","13","0","790","1","0.881737431986234"
"347","yd4ovvg1w20gmyzkgame-level","106","136.519774011299","375","779.958333333333","11","0","344","0.917333333333333","0.48079491425824"
"348","yd4ovvg1xd1gpjrdgame-level","106","128.633802816901","71","683.041666666667","8","0","68","0.957746478873239","0.103946806563777"
"349","yd4ovvg1zdn07092game-level","80","96.5348837209302","53","895.041666666667","4","0","50","0.943396226415094","0.0592151203389042"
"350","yd4ovvg1zdnlyne2game-level","313","341.733333333333","15","551.041666666667","4","0","8","0.533333333333333","0.0272211720226843"
"351","yo1yq2dql9kvoo2ggame-level","42","76.7719298245614","70","2865.04166666667","3","0.342857142857143","57","0.814285714285714","0.0244324544436527"
"352","yo1yq2dqnxd1l7k8game-level","44","72.8301886792453","145","3224","4","0.510344827586207","145","1","0.0449751861042184"
"353","yo1yv1q54xk906k0game-level","66","95.2293577981651","133","2993.95833333333","3","0","133","1","0.0444227959084267"
"354","yo1yv1q5vdo46qy2game-level","28","35","17","2639.04166666667","2","0","17","1","0.00644173232076038"
"355","yo1yv1q5xk9g1w6dgame-level","67.5","108.233333333333","80","2473","3","0.0125","80","1","0.0323493732308937"
"356","yo1yv1q5xk9l5yk0game-level","27","45.6666666666667","77","2769","3","0","77","1","0.0278078728782954"
