"","id","median_comment_length","mean_comment_length","number_of_runs","days_in_database","number_of_platforms_played_on","fraction_of_runs_played_on_emulated","number_unique_players","fraction_runs_by_unique_players","run_production_rate"
"115","j1ngme6pwk6w70o2game-level","120","127.7","31","2543.04166666667","3","0.032258064516129","31","1","0.0121901266527944"
"116","j1npme6p9d86nz62game-level","76","100.289655172414","153","3148.04166666667","1","0","153","1","0.0486016438791312"
"117","j1npme6pxd114pzdgame-level","364","374","11","165","1","0","9","0.818181818181818","0.0666666666666667"
"118","j1npme6pzd301qedgame-level","91","131.226628895184","735","2772.04166666667","1","0","615","0.836734693877551","0.265147529648725"
"119","j1nqoy1pzd30e6vd5wkk0z2w","135","143.7","13","2049.95833333333","4","0","13","1","0.00634159230878676"
"120","j1nqoy1pzd30e6vdgdrprm6w","38.5","70.6666666666667","24","2290.95833333333","5","0","24","1","0.0104759652983649"
"121","j1nqoy1pzd30e6vdywe20ryw","59","140.5","14","2145","5","0","14","1","0.00652680652680653"
"122","j1nqoy1pzdn0zq72game-level","171.5","274.071428571429","31","1403","4","0","26","0.838709677419355","0.0220955096222381"
"123","jy65301e02qljx7kgame-level","47","85.1891891891892","68","1454","1","0","68","1","0.046767537826685"
"124","jy65301ezd37yme2game-level","45","61.4137931034483","44","2828.04166666667","1","0","44","1","0.0155584694944971"
"125","k6q474zd8240o13dgame-level","171","154.487690504103","882","601","2","0.0136054421768707","882","1","1.4675540765391"
"126","k6q4kzdg7dg8xn425920qp3d","49","69","21","2338.95833333333","2","0.0476190476190476","21","1","0.00897835574953238"
"127","k6q4yozd9kv7yjjkrdnr0rqw","70","70","10","716.041666666667","3","0","9","0.9","0.0139656677334885"
"128","k6qgnmdg02ql5m9k29vmooq9","19","33.4705882352941","70","1193.95833333333","1","0","70","1","0.0586285116035596"
"129","k6qgnmdg02ql5m9kgdre30e9","29.5","41.4166666666667","45","1200.95833333333","1","0","40","0.888888888888889","0.0374700759809874"
"130","k6qgnmdg02ql5m9kn93q6v2w","25","29.6111111111111","62","1169","1","0","62","1","0.0530367835757057"
"131","k6qgnmdg02ql5m9ko9xz1j3w","33","36.4","30","958","1","0","30","1","0.0313152400835073"
"132","k6qgnmdg02ql5m9kr9g3mp5w","34.5","38","44","1802","1","0","44","1","0.0244173140954495"
"133","k6qgnmdg02ql5m9kr9gxek5w","28.5","43.0833333333333","22","1085","1","0","22","1","0.0202764976958525"
"134","k6qgnmdg02ql5m9kxd0kzzm9","34","51.3333333333333","75","1187.95833333333","1","0","75","1","0.0631335274104732"
"135","k6qgnmdg02ql5m9kxd134r59","36","76.5555555555556","24","834","1","0","24","1","0.0287769784172662"
"136","k6qgnmdg02ql5m9kxd40qqq9","31","57.3818181818182","121","1313","2","0","121","1","0.0921553693830922"
"137","k6qgnmdg02ql5m9kz98r1yrd","32","34.6666666666667","41","1190.95833333333","1","0","41","1","0.0344260574467341"
"138","k6qgnmdg7dg9n7lkgame-level","57","89.4048582995951","374","1586.95833333333","6","0","323","0.863636363636364","0.235670963845932"
"139","kdk5e2dmjdrpj7x2game-level","64","93.9009900990099","144","1847","7","0","144","1","0.0779642663779101"
"140","kdk5e2dmw20zj3odgame-level","64","69.3448275862069","32","1647.95833333333","4","0","32","1","0.0194179666759374"
"141","kdkqxgdmwdm9mxkqgame-level","86","133.333333333333","88","2612.95833333333","4","0","85","0.965909090909091","0.0336783020522715"
"142","kdkxgg6m9kvmwxokgame-level","104","205","13","1678","2","0.0769230769230769","13","1","0.00774731823599523"
"143","kdkzvmldn2y5pv7kgame-level","56","63.8965517241379","52","1232","3","0.519230769230769","51","0.980769230769231","0.0422077922077922"
"144","kdkzvzldzd3638rdgame-level","101","113.608695652174","31","1371.04166666667","2","0","30","0.967741935483871","0.0226105455098009"
"145","kyd49x1e7dggn7d4game-level","31","62.4411764705882","49","2711.95833333333","2","0","42","0.857142857142857","0.0180681242029898"
"146","kyd4pxde824p8g25game-level","56.5","88.6478873239437","183",NA,"1","0.00546448087431694","183","1",NA
"147","kyd4pxdejdrq3ggkgame-level","57","83.5897435897436","69","2643.95833333333","1","0.0289855072463768","69","1","0.0260972342604996"
"148","kyd4pxdevdo4yv2pgame-level","38","57.9428571428571","121","2794.04166666667","1","0.0165289256198347","121","1","0.0433064407891794"
"149","kyd4pxdezdnwj6edgame-level","51","69.7692307692308","139","2872","1","0.0215827338129496","139","1","0.0483983286908078"
"150","l3dx4g6y7dg6olk4game-level","38","38.3333333333333","30","2752","4","0.0666666666666667","29","0.966666666666667","0.0109011627906977"
"151","l3dxny1ywkpy9wkrgame-level","36.5","66.741935483871","105",NA,"7","0.171428571428571","105","1",NA
"152","l3dxogdyjdrqy7lkgame-level","49","70","145","2250.95833333333","2","0","125","0.862068965517241","0.0644170075708494"
"153","l3dxogdywk68zp21game-level","71.5","103.069377990431","640","4469.95833333333","3","0","559","0.8734375","0.143178068401085"
"154","l3dxogdyzd30z7rdgame-level","50","66.6785714285714","84","4897","2","0","71","0.845238095238095","0.0171533591995099"
"155","lde3nex69d8xnz32game-level","53.5","86.9444444444444","126","51","2","0","126","1","2.47058823529412"
"156","lde3r2l6ndx4nzo2game-level","25.5","36.25","23","493.041666666667","3","0","20","0.869565217391304","0.0466492013859545"
"157","lde3v3x602qvy0jdgame-level","65","76.1509433962264","85","533.958333333333","1","0","85","1","0.159188451033945"
"158","lde3z9l6xd17m77dgame-level","91.5","101.946428571429","75","1350.04166666667","4","0","75","1","0.0555538409308355"
"159","ldej3o51824l9qgdgame-level","116","128.333333333333","304","332","7","0.00328947368421053","293","0.963815789473684","0.91566265060241"
"160","ldej3o519d8on532game-level","116","118.038461538462","88","335","5","0","83","0.943181818181818","0.262686567164179"
"161","ldejjmj182484nmkgame-level","25","70.0588235294118","23","44.9583333333333","3","0","21","0.91304347826087","0.511584800741427"
"162","ldemjl13ndx8xljkgame-level","33","53.0691699604743","1084","3524","2","0","835","0.77029520295203","0.307604994324631"
"163","ldemjl13rklg6mwdgame-level","49","72.26","60","2618.95833333333","1","0","60","1","0.0229098719274521"
"164","ldemjl13z277x442game-level","31","104.4","16","1694","1","0","16","1","0.00944510035419126"
"165","m1m2oxd25dwpp7ekgame-level","52","78.7297297297297","77","2151","4","0","67","0.87012987012987","0.0357973035797304"
