"","id","game_id_string","beta_cat","tau0_cat","R_sq_cat","category_id_string","level_id_string","run_player_id","total_records_per_game_per_player","total_records_per_player","number_of_runs","total_runs_per_game_per_player","total_runs_per_player","player_efficacy_per_game","player_efficacy_global"
"71","268ex4o6w20ylqjkgame-level","268ex4o6",0,0,8,"w20ylqjk","game-level","98r01lq8",1,1,1,1,2,1,0.5
"72","268n096pq25onggkgame-level","268n096p",1,0,9,"q25onggk","game-level","18qzgr08",1,1,1,1,1,1,1
"73","268n096pq25onggkgame-level","268n096p",1,0,9,"q25onggk","game-level","0jmqgex1",1,1,1,1,1,1,1
"74","268n096pq25onggkgame-level","268n096p",1,0,9,"q25onggk","game-level","qj211gl8",1,1,1,1,1,1,1
"75","268n096pq25onggkgame-level","268n096p",1,0,9,"q25onggk","game-level","qxk327k8",1,1,1,1,1,1,1
"76","268n096pq25onggkgame-level","268n096p",1,0,9,"q25onggk","game-level","68wkdk38",1,1,1,1,1,1,1
"77","268n096pq25onggkgame-level","268n096p",1,0,9,"q25onggk","game-level","v8154rjp",1,1,1,1,2,1,0.5
"78","268n096pq25onggkgame-level","268n096p",1,0,9,"q25onggk","game-level","qjol63j6",1,1,1,1,1,1,1
"79","268n096pq25onggkgame-level","268n096p",1,0,9,"q25onggk","game-level","18qz5gw8",1,1,1,1,1,1,1
"80","268n096pq25onggkgame-level","268n096p",1,0,9,"q25onggk","game-level","18v5vzyj",1,1,1,1,1,1,1
"81","268q8o6p9kvo38j2game-level","268q8o6p",3,0,9,"9kvo38j2","game-level","xz73rdnj",1,1,1,1,1,1,1
"82","268q8o6p9kvo38j2game-level","268q8o6p",3,0,9,"9kvo38j2","game-level","8r79ge6j",1,1,1,1,1,1,1
"83","268q8o6p9kvo38j2game-level","268q8o6p",3,0,9,"9kvo38j2","game-level","xy5mzpm8",1,1,1,1,1,1,1
"84","268q8o6p9kvo38j2game-level","268q8o6p",3,0,9,"9kvo38j2","game-level","8qz5k978",1,1,1,1,1,1,1
"85","268q8o6p9kvo38j2game-level","268q8o6p",3,0,9,"9kvo38j2","game-level","8en7oq28",1,1,1,1,1,1,1
"86","268q8o6p9kvo38j2game-level","268q8o6p",3,0,9,"9kvo38j2","game-level","8l0y5p78",1,1,1,1,1,1,1
"87","268q8o6p9kvo38j2game-level","268q8o6p",3,0,9,"9kvo38j2","game-level","98ry9w6j",1,1,1,1,1,1,1
"88","268q8o6p9kvo38j2game-level","268q8o6p",3,0,9,"9kvo38j2","game-level","j2y34qo8",1,1,1,1,1,1,1
"89","268q8o6p9kvo38j2game-level","268q8o6p",3,0,9,"9kvo38j2","game-level","8rp7256j",1,1,1,1,1,1,1
"90","268q8o6p9kvo38j2game-level","268q8o6p",3,0,9,"9kvo38j2","game-level","8geezr7j",1,1,1,1,1,1,1
"91","268wlo6pxd13oxrkgame-level","268wlo6p",1,0,9,"xd13oxrk","game-level","qxk3w098",1,1,1,1,1,1,1
"92","268wlo6pxd13oxrkgame-level","268wlo6p",1,0,9,"xd13oxrk","game-level","5j5lgowx",1,1,1,1,1,1,1
"93","268wlo6pxd13oxrkgame-level","268wlo6p",1,0,9,"xd13oxrk","game-level","kj93dqvj",1,2,1,1,2,1,1
"94","268wlo6pxd13oxrkgame-level","268wlo6p",1,0,9,"xd13oxrk","game-level","jn3lqy2x",1,1,1,1,1,1,1
"95","268wlo6pxd13oxrkgame-level","268wlo6p",1,0,9,"xd13oxrk","game-level","pj04zm4x",1,1,1,1,1,1,1
"96","268wlo6pxd13oxrkgame-level","268wlo6p",1,0,9,"xd13oxrk","game-level","xy550rw8",1,1,1,1,2,1,0.5
"97","268wlo6pxd13oxrkgame-level","268wlo6p",1,0,9,"xd13oxrk","game-level","pj0gqv4x",1,1,1,1,6,1,0.166666666666667
"98","268wlo6pxd13oxrkgame-level","268wlo6p",1,0,9,"xd13oxrk","game-level","68wk3nz8",1,1,1,1,1,1,1
"99","268wlo6pxd13oxrkgame-level","268wlo6p",1,0,9,"xd13oxrk","game-level","qj20qklx",1,1,1,1,1,1,1
"100","268wlo6pxd13oxrkgame-level","268wlo6p",1,0,9,"xd13oxrk","game-level","7j4d92dj",1,1,1,1,1,1,1
"101","268wlo6pxd13oxrkgame-level","268wlo6p",1,0,9,"xd13oxrk","game-level","zx7wqlv8",1,1,1,1,1,1,1
"102","268wlo6pxd13oxrkgame-level","268wlo6p",1,0,9,"xd13oxrk","game-level","7j40yl81",1,1,1,1,1,1,1
"103","29d30dlpjzd3y2nqgame-level","29d30dlp",0,0,9,"jzd3y2nq","game-level","y8d032mx",1,2,1,1,8,1,0.25
"104","29d30dlpjzd3y2nqgame-level","29d30dlp",0,0,9,"jzd3y2nq","game-level","p18v6vxl",1,4,1,1,7,1,0.571428571428571
"105","29d30dlpjzd3y2nqgame-level","29d30dlp",0,0,9,"jzd3y2nq","game-level","o863pyq8",1,4,1,1,6,1,0.666666666666667
"106","29d30dlpjzd3y2nqgame-level","29d30dlp",0,0,9,"jzd3y2nq","game-level","1xyr66mj",1,3,1,1,5,1,0.6
"107","29d30dlpjzd3y2nqgame-level","29d30dlp",0,0,9,"jzd3y2nq","game-level","68wd7qxg",1,3,1,1,4,1,0.75
"108","29d30dlpjzd3y2nqgame-level","29d30dlp",0,0,9,"jzd3y2nq","game-level","zxz9vne8",1,1,1,1,2,1,0.5
"109","29d30dlpjzd3y2nqgame-level","29d30dlp",0,0,9,"jzd3y2nq","game-level","kj9ypdnx",1,1,1,1,2,1,0.5
"110","29d30dlpjzd3y2nqgame-level","29d30dlp",0,0,9,"jzd3y2nq","game-level","gpj064jw",1,2,1,1,10,1,0.2
"111","29d30dlpjzd3y2nqgame-level","29d30dlp",0,0,9,"jzd3y2nq","game-level","68wk0ql8",1,1,1,1,4,1,0.25
"112","29d30dlpjzd3y2nqgame-level","29d30dlp",0,0,9,"jzd3y2nq","game-level","wzx7wq87",1,5,1,1,8,1,0.625
"113","29d30dlpjzd3y2nqgame-level","29d30dlp",0,0,9,"jzd3y2nq","game-level","3qjooej6",1,1,1,1,9,1,0.111111111111111
"114","29d30dlpjzd3y2nqgame-level","29d30dlp",0,0,9,"jzd3y2nq","game-level","1y8ddm86",1,2,1,1,6,1,0.333333333333333
"115","29d30dlpl9kvjkgqgame-level","29d30dlp",1,0,9,"l9kvjkgq","game-level","1xyldrvj",1,3,1,1,3,1,1
"116","29d30dlpl9kvjkgqgame-level","29d30dlp",1,0,9,"l9kvjkgq","game-level","kjpo2w48",1,5,1,1,9,1,0.555555555555556
"117","29d30dlpl9kvjkgqgame-level","29d30dlp",1,0,9,"l9kvjkgq","game-level","o863pyq8",1,4,1,1,6,1,0.666666666666667
"118","29d30dlpl9kvjkgqgame-level","29d30dlp",1,0,9,"l9kvjkgq","game-level","98rqdy6x",1,1,1,1,6,1,0.166666666666667
"119","29d30dlpl9kvjkgqgame-level","29d30dlp",1,0,9,"l9kvjkgq","game-level","y8dvdyo8",1,1,1,1,3,1,0.333333333333333
"120","29d30dlpl9kvjkgqgame-level","29d30dlp",1,0,9,"l9kvjkgq","game-level","Benobram",1,1,1,1,4,1,0.25
"121","29d30dlpl9kvjkgqgame-level","29d30dlp",1,0,9,"l9kvjkgq","game-level","68wd7qxg",1,3,1,1,4,1,0.75
"122","29d30dlpl9kvjkgqgame-level","29d30dlp",1,0,9,"l9kvjkgq","game-level","wzx766j7",1,1,1,1,8,1,0.125
"123","29d30dlpl9kvjkgqgame-level","29d30dlp",1,0,9,"l9kvjkgq","game-level","vqxkmj07",1,4,1,1,4,1,1
"124","29d30dlpl9kvjkgqgame-level","29d30dlp",1,0,9,"l9kvjkgq","game-level","r5j5rnxv",1,3,1,1,8,1,0.375
"125","29d30dlpl9kvjkgqgame-level","29d30dlp",1,0,9,"l9kvjkgq","game-level","1zxzy9jq",1,3,1,1,8,1,0.375
