"","game_id_string","year_released","romhack","number_platforms","genre","developer","publisher","discord","require_video","emulators_allowed","number_of_runs"
"38","369p9o21","2014","TRUE","6","y72yd2do","neryk16j",NA,"TRUE","TRUE","TRUE","2363"
"39","369pky81","2012","TRUE","9",NA,"yzom2keq",NA,"TRUE","TRUE","TRUE","1317"
"40","369pm331","1998","TRUE","4",NA,NA,NA,"TRUE","TRUE","TRUE","404"
"41","369pp381","2017","TRUE","2","7d5owlnw","rzjvw1zl","m0rvylrx","TRUE","TRUE","FALSE","1659"
"42","369pqq31","2018","TRUE","8","1g2z0wnl","yge0m26p","5p6z2l63","TRUE","TRUE","FALSE","107"
"43","369prm21","2020","FALSE","1","qdnqkn8k",NA,"kry97env","TRUE","TRUE","FALSE","49"
"44","369pyw31","2018","FALSE","4","4n4mqjn0","p6x1dkz1","dnlxg4nl","TRUE","TRUE","TRUE","28"
"45","369v401l","2003","FALSE","5","qdnqkn8k","81e792z7","k564lgrw","TRUE","TRUE","TRUE","403"
"46","369vyg1l","2015","FALSE","7","qdnqekn8","y4zwm26k","z6qqqg69","TRUE","TRUE","TRUE","115"
"47","369wk8dl","1984","FALSE","1","yq5wkm5g",NA,NA,"TRUE","TRUE","TRUE","206"
"48","3dx23z51","1998","TRUE","2","pm21pl24","7pe143eo","93nkqxnw","TRUE","FALSE","TRUE","61"
"49","3dx28w41","2004","TRUE","4","oy5goxne","4ep8y76r","19nex7r5","TRUE","TRUE","FALSE","375"
"50","3dx29qg1","2016","FALSE","0",NA,NA,NA,"TRUE","TRUE","TRUE","95"
"51","3dx2lw41","2018","FALSE","5","g2zoqwnl","1zkmv26j","gnozop6o","TRUE","TRUE","FALSE","855"
"52","3dx2oz41","2016","TRUE","4",NA,"k62d97ex",NA,"TRUE","TRUE","TRUE","436"
"53","3dx2pk41","2020","TRUE","3",NA,NA,NA,"TRUE","TRUE","TRUE","299"
"54","3dx2w9y1","2021","FALSE","7","oy5gp5e3","rzj2yoel","emr5eryo","TRUE","TRUE","FALSE","309"
"55","3dx2zvp1","2017","FALSE","2","jp23ox26","1e779ke7",NA,"TRUE","TRUE","TRUE","162"
"56","3dx3yydy","2011","FALSE","10","9rnvvrnq","ynzmy5z0","5p6zpr3w","TRUE","TRUE","FALSE","538"
"57","3dx57v1y","2014","FALSE","9",NA,NA,NA,"TRUE","TRUE","FALSE","310"
"58","3dx5pp1y","2012","TRUE","1",NA,NA,NA,"TRUE","TRUE","FALSE","26"
"59","3dx94ydy","2005","FALSE","3","y72yd2do","4nel5vz2","p6zd0yr3","TRUE","TRUE","TRUE","143"
"60","3dxe951y","2016","TRUE","3",NA,NA,NA,"TRUE","TRUE","TRUE","2538"
"61","3dxk35v1","2021","FALSE","1","650k9xnm","k62ov7zx","93nkd06w","TRUE","TRUE","TRUE","151"
"62","3dxk7p1y","1999","FALSE","3",NA,NA,NA,"TRUE","TRUE","TRUE","437"
"63","3dxkz0v1","2021","FALSE","1",NA,NA,NA,"TRUE","FALSE","FALSE","3928"
"64","3dxl5ydy","2010","FALSE","2","wr2l6127","rzj7vpzl","krx29kn9","TRUE","TRUE","TRUE","615"
"65","3dxqnp1y","2014","FALSE","7",NA,NA,NA,"TRUE","FALSE","TRUE","40"
"66","3dxz351y","2012","FALSE","7","9rnvvrnq","l4eprzro","kd6jv6p0","TRUE","TRUE","FALSE","1383"
"67","3dxz7p1y","2006","FALSE","4",NA,NA,NA,"TRUE","FALSE","TRUE","3953"
"68","3dxzjy1y","1995","FALSE","3","1n90pvnm","myzo3pzq","k564wnw1","TRUE","TRUE","TRUE","365"
"69","46w0n91r","2017","FALSE","1","wr2l1n7p","xv6dvx62",NA,"TRUE","FALSE","FALSE","10000"
"70","46w0rn1r","2013","FALSE","3",NA,NA,NA,"TRUE","FALSE","TRUE","184"
"71","46w23p96","2021","TRUE","1","qdnqkn8k",NA,NA,"TRUE","TRUE","TRUE","73"
"72","46w29l6r","2008","FALSE","6","qdnqekn8","pe1n236o","8060ynlv","TRUE","TRUE","FALSE","214"
"73","46w2l76r","1990","FALSE","5",NA,NA,NA,"TRUE","TRUE","TRUE","1220"
"74","46w2wo76","2022","FALSE","1",NA,NA,NA,"TRUE","TRUE","TRUE","940"
"75","46w305q1","2020","FALSE","1","r2rok62z","4eprl3zr","dq6djl6z","TRUE","TRUE","FALSE","757"
"76","46w33031","2001","TRUE","2","9rnvvrnq","leqml3zw","m0rvylrx","TRUE","FALSE","TRUE","501"
"77","46w33ln1","2017","FALSE","3","qdnqekn8","y4zwm26k","z6qqqg69","TRUE","TRUE","FALSE","160"
"78","46w33n31","2007","FALSE","1","oy5gwd2e","ge001xep","2n95d56x","TRUE","TRUE","FALSE","142"
"79","46w33wn1","2018","FALSE","6","94n4pn0w","myzo3pzq","k564wnw1","TRUE","FALSE","FALSE","4887"
"80","46w382n1","2012","FALSE","2",NA,NA,NA,"TRUE","TRUE","TRUE","1285"
"81","46w3831r","1990","FALSE","1","qdnqkn8k","myzo3pzq","k564wnw1","TRUE","TRUE","TRUE","157"
"82","46w38791","2020","FALSE","1",NA,NA,NA,"TRUE","TRUE","FALSE","43"
"83","46w38g91","2019","FALSE","1",NA,NA,NA,"TRUE","TRUE","FALSE","115"
"84","46w38o31","2019","FALSE","2","qdnqkn8k",NA,NA,"TRUE","TRUE","TRUE","397"
"85","46w39on1","2018","FALSE","1","el28onrz","yz8jk96w","m0rvylrx","TRUE","FALSE","FALSE","385"
"86","46w3j571","2008","TRUE","3","wr2l1n7p","leqml3zw","m0rvylrx","TRUE","FALSE","FALSE","947"
"87","46w3jon1","2017","FALSE","6","4n4ezd50","w63n5mex","lkryl5nv","TRUE","TRUE","TRUE","584"
"88","46w3ln1r","2013","FALSE","1","y72yd2do","rzj0016l","m0rvjerx","TRUE","FALSE","FALSE","801"
"89","46w3ovl1","2019","FALSE","8","qdnqekn8","4zww9qzk","z6qqqg69","TRUE","TRUE","FALSE","288"
"90","46w3w331","2019","FALSE","9","pm211l24","myzo3pzq","k564wnw1","TRUE","TRUE","FALSE","1017"
"91","46w3xjq1","2009","TRUE","3",NA,NA,NA,"TRUE","TRUE","TRUE","186"
"92","46w5r96r","2003","FALSE","7",NA,NA,NA,"TRUE","TRUE","TRUE","103"
"93","46w8k76r","1989","FALSE","2","el28onrz","ner0y5ej","gxrw5lrl","TRUE","TRUE","TRUE","77"
"94","46we0q6r","2006","FALSE","6",NA,"4nel1l62","krx1pp69","TRUE","TRUE","TRUE","107"
"95","46wez36r","2010","FALSE","5","m65jxlnk","2p6xmxz1","4dnll7nl","TRUE","TRUE","FALSE","48"
"96","46wj4ndr","2004","FALSE","1",NA,NA,NA,"TRUE","FALSE","TRUE","198"
"97","46wjv7dr","2007","TRUE","1",NA,NA,NA,"TRUE","TRUE","TRUE","154"
"98","46wlwl1r","1997","FALSE","9","y45xk8nd","dv69qnex","2l6mj69e","TRUE","TRUE","TRUE","1221"
"99","46wnl36r","1997","FALSE","3","y72yd2do","dv694xzx","emr5o86y","TRUE","TRUE","TRUE","77"
"100","46wr391r","1988","FALSE","6",NA,"2jevn26k","2l6mj69e","TRUE","TRUE","TRUE","1285"
"101","46wron1r","2012","FALSE","6","y72yd2do","1zk90nej",NA,"TRUE","TRUE","TRUE","83"
