"","iter","lambda","lambda_err","beta","beta_err","I_inf","I_inf_err","tau0","tau0_err","R_sq","delta_R_sq","R_sq_adj","convergence","id","run_date_in_days_max","R_sq_cat","beta_cat","tau0_cat"
"261",4524,0.00642140173948696,0.00374121986794105,0.583469739782561,0.004722328019016,0,0.446955235481167,5720.97694979039,6113.22654110067,0.96685318084032,9.84172133788874e-08,0.952647401200458,TRUE,"o6gn7o12q253ojkogame-level",2662,9,0,-1
"262",1698,0.0346386072985896,0.00505780412074108,0.621054125643328,0.0137635796402954,0.385067916365849,0.0265853116031094,224.672333131898,79.7829300181018,0.965491461537242,9.98975238086786e-08,0.944786338459587,TRUE,"o6gn7o12wdmzryo2game-level",2310,9,0,0
"263",354,0.0368013253830937,0.00328584218196142,0.690216240367058,0.0129859951680253,0.515178768944836,0.00905744607121371,119.621043296466,26.2417028763712,0.984998184275467,9.91990977139423e-08,0.9774972764132,TRUE,"o6gn7o12wkp3yj2rgame-level",3158,9,0,0
"264",8512,1.49106000166839e-07,1.05914431824778e-08,2.43082695971853,0.00804267562767515,0.653908937869166,0.00697725967283397,643.140065464016,32.5534676948931,0.981439488355871,9.99502467458058e-08,0.974479296489323,TRUE,"o6gny5128241qm25game-level",2726,9,2,1
"265",5134,7.08762520986307e-07,5.25105225733119e-08,2.24003885374537,0.00852245555695085,0.602761767799621,0.00859795281619508,556.242988878289,31.774780553037,0.988983291641852,9.99292861791901e-08,0.982373266626963,TRUE,"ok6qlo1gmkeon9d6game-level",2638,9,2,1
"266",1843,0.000340178368174489,4.12877200537359e-05,1.29549248912866,0.0161809168028938,0.712408760019966,0.00822425688242235,475.554864838417,81.1688476707758,0.966682029360056,9.96154169152774e-08,0.952402899085794,TRUE,"ok6qlo1gwdmze42qgame-level",2612,9,1,0
"267",8611,5.3097274285452e-06,6.09531665138618e-07,1.7212153191986,0.0114191497058524,0.690771924632769,0.0124710151956585,1160.52111615527,131.731279990894,0.958877076935534,9.99516590605154e-08,0.938315615403301,TRUE,"ok6qlo1gxd1rxxrkgame-level",3672,9,1,2
"268",2,0.00068332916936152,0.000293304231467302,0.99997154924691,0.0110005058149699,0.0702792155357673,0.222635197331166,1463.72705355831,745.655720316382,0.888706713405017,6.77034734941628e-08,0.846971730931898,TRUE,"om1mpk1202qg5zdygame-level",2201,8,0,2
"269",298,0.00506454871547775,0.00037531734848841,2.06003914613779,0.0217840778879425,0.0152146318484267,0.0015764469376953,13.0100639330584,0.82099954254723,0.999463203084729,9.95907911693905e-08,0.999329003855912,TRUE,"pd072l6ewdmp83dqgame-level",2798,9,2,0
"270",770,0.00833154789245543,0.000320971946858032,2.89709783132304,0.018450610633662,0.0101499419080638,0.00240815694497515,5.22046737144668,0.12436460672938,0.999077828911547,9.96232167871369e-08,0.99880117758501,TRUE,"pd0993demkelr19dgame-level",2107,9,2,0
"271",1958,0.0264507452425458,0.00594991235242288,4.64334789958904,0.292276033202133,0.0359247361853573,0.0603066848834373,2.18648595363361,0.213588728326374,0.627582877278343,9.99937780354898e-08,0.576798724179936,TRUE,"pd0qq4v102q9w7pkgame-level",96,5,3,0
"272",119,0.0433434996288293,0.008743160294401,1.85680679459027,0.0579220909251298,0,0.0554876575406949,5.42121777658244,0.874798254157778,0.895090313756126,7.01816496029295e-08,0.88140644163736,TRUE,"pd0qq4v1jdr968xdgame-level",12,8,1,0
"273",256,0.0681363923163848,0.0282697160725145,0.692247091640393,0.0277345124026193,0.386685825026439,0.131211028533022,48.4469617189209,36.5687293766408,0.937364417717187,9.94735213089015e-08,0.899783068347499,TRUE,"pd0qq4v1jdr96yxdgame-level",119,8,0,0
"274",275,0.13138464573225,0.019317965684781,1.14331879824149,0.0250927504930297,0.0115470993659277,0.0480076883118727,5.90149486410875,0.988874910620609,0.948703297139542,9.84418178084923e-08,0.934713287268508,TRUE,"pd0qq4v1jdrrg3gdgame-level",14,9,1,0
"275",2282,0.0152392186413923,0.00109265275296422,6.76169576827104,0.0907032631001069,0.0358759580569116,0.0117764006124697,1.85662882770096,0.0350979094813717,0.963458498535676,9.99613382068887e-08,0.956606967011115,TRUE,"pd0qq4v1jdze0ovdgame-level",96,9,3,0
"276",6134,3.27070855523761e-11,3.57596873722643e-12,8.22514756908857,0.0347850157655436,0.341262506371515,0.0118378611871232,18.827502293899,0.483985759466035,0.979374304371681,9.99257795397668e-08,0.974954512451327,TRUE,"pd0qq4v1zdnngqndgame-level",69,9,3,0
"277",551,0.0882238879087987,0.00837337689223692,1.78636617433787,0.0540543654937121,0.544559091767129,0.0122734515996248,3.89274768025033,0.366916836833042,0.91295848381903,9.91555482166007e-08,0.89430673035168,TRUE,"pd0w3qw19d84jg3kgame-level",849,8,1,0
"278",88,0.094201222683147,0.010671157146125,0.883082095840418,0.0302670685564152,0.28786072393554,0.0248863808309629,14.5136236993981,3.19249522744018,0.979959371943031,9.85625258076439e-08,0.96793499510885,TRUE,"pd0w3qw1w20gvlzkgame-level",261,9,0,0
"279",408,0.00590119589257002,0.000653249961488012,4.58522413398097,0.0739703818652523,0.376104145078026,0.00228547671513779,3.06294928124925,0.129257978887062,0.998235862096641,9.92755972983872e-08,0.997647816128855,TRUE,"pd0wj4217dgnqzp2game-level",237,9,3,0
"280",85,0.152462044452253,0.0335054321116171,0.93459011270658,0.0550337573491604,0.589642731223214,0.0305073899938529,7.48181486280736,2.64593371508928,0.913751043227372,9.96222198068608e-08,0.862001669163795,TRUE,"pd0wjp21w20gl5zkgame-level",234,8,0,0
"281",899,0.000699076822639451,8.49553673260223e-05,3.60871641680286,0.0593575373722126,0.191681720935955,0.012479921871402,7.48865339694597,0.5001852635714,0.965486899721653,9.99889695485479e-08,0.958091235376292,TRUE,"pd0wx9w18246jnmdgame-level",1341,9,3,0
"282",1104,0.000246655218754259,1.65391202002865e-05,2.15714053957434,0.0164970766820563,0.161707565538389,0.00755127689836522,47.0481675914163,2.84815188788221,0.980237697326991,9.97471270025585e-08,0.97754283787158,TRUE,"pd0wx9w1zd36l5rdgame-level",1598,9,2,0
"283",4334,3.76448999310082e-06,7.51566206010673e-07,1.91282077830222,0.0168006827292112,0.576941748421316,0.0290028565815112,685.103910530563,110.797185170408,0.971114790078131,9.97921875134367e-08,0.95378366412501,TRUE,"pdv294v6mkexjj6dgame-level",1434,9,1,1
"284",10000,3.73671968447543e-10,4.03500368113921e-10,2.92098775207735,0.00889212007738489,0,0.845312638639512,1688.52449051034,662.410683486165,0.866439546499845,8.66979282587721e-06,0.83001396827253,FALSE,"pdv4qrdw9d863672game-level",1466,8,2,3
"285",5591,0.00772097627040974,0.00231205045694259,0.726109004793603,0.0045824097353265,0.0641259432528034,0.140493919729455,811.158295785854,368.815659203194,0.991186904092381,9.99982715521597e-08,0.98589904654781,TRUE,"pdv4qrdwzd36predgame-level",1293,9,0,1
"286",2,0.000721343625055533,0.000112884960700325,0.999992224362659,0.00463126507372987,0.355258959663384,0.0570379330470262,1386.37983246062,263.410460218888,0.984754420681142,3.90252352655551e-09,0.97903732843657,TRUE,"pdv94r1w7kjl9g23game-level",2053,9,0,2
"287",36,0.188886496505763,0.0379582291775528,0.891627380476179,0.0888161504531921,0.597906611548817,0.0127226242316413,6.48295581795585,2.66821819894868,0.897988332070601,7.90084043744699e-08,0.867384831691781,TRUE,"pdvl8r1wxk9jv1ydgame-level",1807,8,0,0
"288",149,0.126783312344792,0.0133305237772655,1.39894292148783,0.0690638662423236,0.449574415241031,0.0129316141870549,4.37677317621147,0.647951384056243,0.950948993533334,9.50367786689554e-08,0.937571446315153,TRUE,"pdvznzr6824nn0mkgame-level",188,9,1,0
"289",437,0.0873702760480866,0.00908566135107712,2.27229216531938,0.0653318451376375,0.404422239841884,0.0183864748669727,2.92340618689178,0.223955327942469,0.876639536566345,9.93961997153292e-08,0.85487004301923,TRUE,"pdvznzr6824r35mdgame-level",773,8,2,0
"290",904,0.00936451562315395,0.00209913288615499,7.71596498305961,0.304998694313671,0.302640810901882,0.0112107486561614,1.83188572470971,0.0970523730834627,0.948774416934918,9.98518511208246e-08,0.935968021168647,TRUE,"pdvznzr69d8yo9wkgame-level",192,9,3,0
"291",7977,1.64540326795198e-07,4.34348849060722e-08,3.18762145590338,0.0484522283050287,0.752733495011553,0.0142232144877601,134.322012510717,21.1285083858648,0.846565789288247,9.99771588849896e-08,0.789027960271339,TRUE,"pdvzpo467dg4xwgdgame-level",420,7,3,0
