"","iter","lambda","lambda_err","beta","beta_err","I_inf","I_inf_err","tau0","tau0_err","R_sq","delta_R_sq","R_sq_adj","convergence","id"
"31",4000,0.035595339846307,0.0215037357922819,0.501120747175031,0.00927180595341338,0,0.29277924505468,777.560424705261,1033.13228264011,0.953479260479191,7.43586501594784e-07,0.925566816766706,FALSE,"3dxe951y9kvq8oodgame-level"
"32",441,0.00999120942076344,0.0018995267667721,1.05387670760908,0.0355639104375132,0.276306330623431,0.0163088861983652,79.0892779056329,25.9325074992064,0.972531853618757,9.99138758395191e-08,0.956050965790011,TRUE,"3dxe951yrkl95lrkgame-level"
"33",94,0.0879818947652806,0.00918259558075159,0.974274628015643,0.0327693057705749,0.626489753352409,0.00934467935580167,12.1193577411632,2.3152413001333,0.967953685448055,9.89182061816862e-08,0.954219550640079,TRUE,"3dxkz0v15dw1v5nkgame-level"
"34",88,0.204411700845038,0.0222851436003248,0.953642330001747,0.0512749415314443,0.631810846004825,0.0120126918620272,5.28459087660105,1.07717057727694,0.890707819914957,9.85597362612722e-08,0.868849383897948,TRUE,"3dxkz0v19kv83mjdgame-level"
"35",630,0.00367933745179362,0.00057207226872443,1.80530333922253,0.0378999684965114,0.692031917980525,0.0117800688318398,22.3037293538624,3.37467895475784,0.979038399519049,9.90186328486686e-08,0.966461439230479,TRUE,"3dxkz0v1mkex8zxdgame-level"
"36",57,0.127859589243619,0.0186635931560322,1.0167504581328,0.0486419050425759,0.63699497816328,0.0148085840114814,7.56050091944595,1.81711436394635,0.936915593206171,9.43146980514342e-08,0.905373389809257,TRUE,"3dxkz0v1ndx3qjodgame-level"
"37",4000,0.00515629051229879,0.00335740896228535,0.764836438008607,0.0150106104462819,0,0.325717072134221,979.59861333055,966.371235673467,0.887474381639809,1.15602811479043e-06,0.853716696131752,FALSE,"3dxl5ydy824x1nmdgame-level"
"38",75,0.110461638027802,0.0243993276684012,0.643937016030634,0.0521773064149314,0.139851066303788,0.0435499513541254,30.6084810487306,18.9847283241624,0.930040279458582,9.10439860168921e-08,0.895060419187873,TRUE,"3dxl5ydyjdz37l32game-level"
"39",392,0.0262354516924133,0.00220340322021271,1.18443463805381,0.0172852819458616,0.664596094349416,0.00302452041388198,21.6226118494154,2.50314342989426,0.99339769642399,9.92283426537455e-08,0.990921832582987,TRUE,"46w0n91r02ql37pkgame-level"
"40",102,0.194463012108452,0.0269600655810957,0.701498094923643,0.044154299523067,0.623275645301135,0.0122090407649472,10.3223245416565,3.55666193152727,0.940657588942552,9.4082198365264e-08,0.918404184796009,TRUE,"46w0n91r5dwy905kgame-level"
"41",1072,0.0101489387812575,0.00168091429970364,7.28347218233803,0.224001537400299,0.629918114161262,0.00561636191121059,1.87807431353769,0.0791099242012216,0.965862688332035,9.99857685535233e-08,0.955621494831646,TRUE,"46w0n91r7dg5xzg2game-level"
"42",32,0.218299354026878,0.0407799795811459,0.922917229760725,0.0957384510734528,0.696685945547368,0.0106461618579366,5.20176114897216,1.94269131037094,0.905477523256924,9.35149065961483e-08,0.870031594478271,TRUE,"46w0n91rmkejvej2game-level"
"43",81,0.0725625349175241,0.0139920668417099,1.28795442946982,0.0831553258388276,0.670640369915229,0.0134924673623085,7.66604427583272,2.15584489099063,0.942948740419116,9.73303551088378e-08,0.918498200598738,TRUE,"46w0n91rwkpq9pjdgame-level"
"44",4000,1.22713827833305e-05,8.23685655454974e-05,1.25908016839705,0.0106402867965716,0,6.11136916263514,7953.3678405651,43003.6436187929,0.79491726147013,2.09877398582581e-06,0.671867618352208,FALSE,"46w2l76r02qg3wpdgame-level"
"45",2124,0.0139837826676466,0.00207732149883603,6.37274031922908,0.17709029384361,0.805363406662664,0.00719545147187393,1.95427442259229,0.081941820188652,0.948243542128949,9.99581619698375e-08,0.917189667406318,TRUE,"46w2wo76w20no45dgame-level"
"46",325,0.167550669535574,0.0550333570664616,0.414452623087593,0.0168872016531349,0.561889124002048,0.0759255359130887,74.472585848678,72.1000603135275,0.915755704947818,9.97990651230296e-08,0.879651007068311,TRUE,"46w305q1vdox671dgame-level"
"47",2111,0.015336717711189,0.00308310471826761,5.45835141742832,0.243584629225283,0.738913671346362,0.0161931921132242,2.1497294110147,0.152595447721798,0.903834963442414,9.99959230973957e-08,0.846135941507862,TRUE,"46w382n1zdn8npxdgame-level"
"48",1192,0.00630826764755489,0.00296793344275774,0.71639986785911,0.0115083576263723,0,0.249604632242677,1177.70398693983,907.217609392434,0.910534334569425,9.91121131832529e-08,0.87219190652775,TRUE,"46w3ln1r7kjzlxd3game-level"
"49",546,0.0114763451371123,0.00229355898389237,0.889305423474167,0.0128219030088056,0,0.0743276717710413,151.949264494563,45.15263221006,0.964393762486594,9.98481640701598e-08,0.946590643729891,TRUE,"46w3xjq1n2ygo8e2game-level"
"50",4000,0.000111185880041811,0.00380303573726781,0.867520367254044,0.0159497741666538,0,32.7778760808424,36121.0898152858,1431139.85121476,0.569651338524288,1.4322581769477e-06,0.354477007786432,FALSE,"46wjv7drjdrrygd6game-level"
"51",1093,0.0100344091222314,0.00113760458498064,7.3012857728036,0.15140067435659,0.171072528854427,0.00937483195897156,1.87810571753306,0.0537076327469878,0.986300932823539,9.99192802941806e-08,0.981163782632366,TRUE,"4d74xld7vdo9j1dpgame-level"
"52",1103,0.0106333233135694,0.00408185560911502,7.03299186230392,0.505048573489326,0.235632957456539,0.0347026727992604,1.9080159825951,0.19266496667644,0.872855522696765,9.9932049413276e-08,0.809283284045148,TRUE,"4d792331rklry48kgame-level"
"53",183,0.0827631738969969,0.0371361697936708,1.68602035771218,0.23054773224644,0.378586304330067,0.0532804445444378,4.38373690763985,2.0525596059294,0.653170835993078,9.84014478788708e-08,0.504529765704398,TRUE,"4d792331w20xqn52game-level"
"54",1879,0.0136367692228185,0.00521433477690225,4.47990511280266,0.248748985119091,0.277679867650143,0.0607452608222013,2.60836197837494,0.361483779960378,0.80243478433055,9.9946575127241e-08,0.68389565492888,TRUE,"4d792331xd1vp9wdgame-level"
"55",4000,4.27285179797762e-11,7.77228775117914e-12,7.78067700255972,0.0527535101687769,0.439440116592426,0.0201340859663815,21.5127856129798,0.950520357635924,0.979015751869323,8.40933235934926e-07,0.966425202990917,FALSE,"4d792331zd3xenrdgame-level"
"56",4000,2.72729121390022e-08,1.4296362994965e-08,2.32369026724173,0.012105764786113,0.0572589966803195,0.318360518630896,1800.04182583468,476.358870151274,0.933540342850988,8.01547621609444e-07,0.893664548561581,FALSE,"4d794qg15dw8eggdgame-level"
"57",4000,1.20156616334082e-06,3.18770768517473e-07,1.83193053704186,0.00662007897115802,0.154664333151931,0.144138896532678,1704.90940518064,292.747242903228,0.945936353934543,1.85271471320192e-06,0.931191723189418,FALSE,"4d794qg1wkpvl3vkgame-level"
"58",582,0.00746679024342051,0.000375690718305086,1.21150767917543,0.00787953945167947,0.0613305213132872,0.00281644068634463,56.9577846334351,3.86297012260798,0.999383034656999,9.96300106859138e-08,0.999118620938571,TRUE,"4d7nw367wkpyz0jkgame-level"
"59",167,0.0304566172576612,0.00305012272792761,1.03054959396082,0.0252728504919314,0.265142635391948,0.0224780515198679,29.6052423392625,5.3367211746312,0.972548306335409,9.83486958539004e-08,0.958822459503114,TRUE,"4d7p4rd7jdr1nqn2game-level"
"60",4000,2.57067397662291e-08,2.07094394354206e-09,2.86574509962049,0.00827238098003269,0.831279782409187,0.00489508654030734,445.153156686319,20.3503711545569,0.994747817605746,5.16440025211118e-06,0.992496882293923,FALSE,"4d7y5zd77dgng872game-level"
"61",2341,2.75040357712232e-05,2.72364015928164e-06,3.76067887585635,0.0316749618202376,0.614617163203891,0.00836033530475365,16.3195254558424,0.813550275846612,0.990054953841278,9.97371814026593e-08,0.986739938455038,TRUE,"4d7y5zd78241elw2game-level"
"62",1502,0.000130266588188993,5.1168222441266e-06,2.9382554749323,0.00906135186959616,0.743594203415138,0.00247203538413781,21.0024502232323,0.477969111847943,0.999237256378706,9.99310532101561e-08,0.998855884568059,TRUE,"4d7y5zd7zd3oymndgame-level"
"63",4000,1.55923146182823e-06,6.57883461206214e-06,1.50316280558,0.0106103184485777,0,3.88548151578075,7298.72735341324,20945.3405733458,0.798548902575524,2.78719900337343e-06,0.677678244120839,FALSE,"4pd03de5zdnw31xdgame-level"
"64",2889,1.24640691950656e-05,1.41489861593742e-06,1.6912880056987,0.0124344814033312,0.64939770223813,0.012274606853238,793.901111637977,92.2583729857292,0.963286235022938,9.98436053833984e-08,0.953273390029193,TRUE,"4pd0k21exd1m68d8game-level"
"65",4000,5.97535312155583e-09,1.04818117830607e-09,2.77104705979112,0.0172271902550481,0.683709967560929,0.0213647772752728,928.324951307571,98.2035922795463,0.938183016702158,4.66874938165329e-06,0.907274525053237,FALSE,"4pd0k21ezd3ypn2ngame-level"
"66",4000,2.19350381892976e-06,2.75338739164828e-07,1.91051466254208,0.0131379626202192,0.297971355352027,0.0284583459998575,916.129035283823,103.157875932943,0.952693803834103,7.93637046081486e-07,0.938501944984334,FALSE,"4pdver6w9d866362game-level"
"67",855,0.0735140368040071,0.0109479657695052,0.450792453053046,0.00637421799435652,0.424736688762023,0.0335070056011541,327.151326214716,134.863564301263,0.968637818205777,9.94456669234367e-08,0.958183757607703,TRUE,"4pdver6wjdrpq026game-level"
"68",755,0.0380364133373396,0.0069818307197292,0.563247590786871,0.00886359233445147,0.379970173142873,0.0431824714733515,331.695427576482,138.392645805396,0.974132846820711,9.92254292064843e-08,0.961199270231067,TRUE,"4pdver6wjdz53xdvgame-level"
"69",532,0.0715754669013208,0.026620898098983,0.46144044313868,0.0217531749513644,0.663816300640431,0.0628306131122893,303.299251559861,326.173234470776,0.847226828438258,9.97802125368707e-08,0.770840242657386,TRUE,"4pdvgodw9kv7nokggame-level"
"70",269,0.0421174942272856,0.012630972049503,0.709215638060587,0.0380320577133618,0.780750113768169,0.0216644931685316,87.00002562279,57.6241207873046,0.843750857392358,9.87083758063889e-08,0.765626286088537,TRUE,"4pdvgodwzd38q8kngame-level"
"71",629,0.0101450828742316,0.00128630689257613,1.14130550911628,0.0247452767678725,0.4366523964214,0.00587830471774724,55.8339146749762,11.0721209890563,0.99030690801558,9.99762000963855e-08,0.986152725736543,TRUE,"576rzld87kjrox23game-level"
"72",4000,6.91161180075092e-05,1.46308163406038e-05,1.19681083293501,0.00558805694884264,0.726602505125966,0.0307809300214097,2994.02796653926,641.462388488719,0.966204548968597,1.52138248998845e-06,0.949306823452895,FALSE,"576rzld8xk9lwyk0game-level"
"73",4000,0.0122403131726314,0.00683737055246664,0.445013017248503,0.00319234139852115,0.122278658114797,0.409475438581847,19813.8898017193,26277.3417196611,0.984713862561945,1.62281606153059e-07,0.975542180099112,FALSE,"76r35l68zdnw657dgame-level"
"74",834,0.00845329708980207,0.000716828059912001,4.02581919150289,0.0543284601785755,0.304970934058404,0.00503562606626278,3.27280224116038,0.12130316318035,0.997069548775316,9.9747957116314e-08,0.995311278040505,TRUE,"76r3q46802q3vykygame-level"
"75",4000,2.97246356187406e-05,5.98513547949562e-06,1.73355083289907,0.0222610114533821,0.607957331749418,0.0282344612824188,408.635283664321,79.0148565063482,0.877211358944252,8.23651611248088e-07,0.815817038416379,FALSE,"76r3q468jdz9wg2vgame-level"
"76",1154,0.00391777788938707,0.00190695310586855,0.808667096740567,0.0132992399507147,0,0.2870861234329,947.226241325235,676.907650780974,0.872676876169888,9.97544415959339e-08,0.834479939020854,TRUE,"76r3y856mkey8x62game-level"
"77",2143,0.00259914099417423,0.000263190146102178,0.881756750649636,0.00747638729551637,0.887987504249999,0.00446023440048594,854.752755110899,147.085291560324,0.971673894424078,9.9957870314249e-08,0.95953413489154,TRUE,"76r9846802qj3z9dgame-level"
"78",1390,0.00155195536344717,0.000170814030384827,0.942753073462697,0.00586587828463675,0.530498991785362,0.0253844429581929,954.331825025337,152.155690128856,0.984547954061869,9.99471404528052e-08,0.977925648659813,TRUE,"76rjrq189kv3n02ggame-level"
"79",3014,0.0019226828568463,0.000136461933173138,1.37826515909334,0.0095710625182606,0.203894943993828,0.00724417724302004,93.4674162796566,7.75837316211545,0.995587974034996,9.99602469686778e-08,0.99369710576428,TRUE,"76rkwed8ndxmj4r2game-level"
"80",385,0.0483482087548351,0.00462674839211602,1.37227957575848,0.0334678431099223,0.403122763788382,0.00883649629407694,9.09308107705261,1.1236619464709,0.964571116758223,9.97939032520989e-08,0.955713895947779,TRUE,"76rkwed8xd1erv42game-level"
